timestamp,model,mode,bars,pop,generations,w_rules,w_mlp,seed,out_midi,best_fitness,exit_code
2025-11-10T02:35:43,mlp_easy_2N.pkl,minor,8,60,90,0.000,1.000,42,out\mlp_easy_2N__minor_8bars__pop60_gen90__wr0p0_wm1p0.mid,0.998900,0
2025-11-10T02:39:26,mlp_easy_2N.pkl,minor,16,100,150,1.000,0.000,42,out\mlp_easy_2N__minor_16bars__pop100_gen150__wr1p0_wm0p0.mid,0.855500,0
2025-11-10T02:55:35,mlp_easy_2N.pkl,minor,16,100,150,0.800,0.200,42,out\mlp_easy_2N__minor_16bars__pop100_gen150__wr0p8_wm0p2.mid,0.884000,0
2025-11-10T03:12:21,mlp_easy_2N.pkl,minor,16,100,150,0.600,0.400,42,out\mlp_easy_2N__minor_16bars__pop100_gen150__wr0p6_wm0p4.mid,0.905200,0
2025-11-10T03:30:02,mlp_easy_2N.pkl,minor,16,100,150,0.400,0.600,42,out\mlp_easy_2N__minor_16bars__pop100_gen150__wr0p4_wm0p6.mid,0.938800,0
2025-11-10T03:47:13,mlp_easy_2N.pkl,minor,16,100,150,0.200,0.800,42,out\mlp_easy_2N__minor_16bars__pop100_gen150__wr0p2_wm0p8.mid,0.966100,0
2025-11-10T04:05:04,mlp_easy_2N.pkl,minor,16,100,150,0.000,1.000,42,out\mlp_easy_2N__minor_16bars__pop100_gen150__wr0p0_wm1p0.mid,0.999600,0
2025-11-10T04:22:53,mlp_easy_2N.pkl,major,8,60,90,1.000,0.000,42,out\mlp_easy_2N__major_8bars__pop60_gen90__wr1p0_wm0p0.mid,0.874600,0
2025-11-10T04:26:24,mlp_easy_2N.pkl,major,8,60,90,0.800,0.200,42,out\mlp_easy_2N__major_8bars__pop60_gen90__wr0p8_wm0p2.mid,0.867100,0
2025-11-10T04:29:57,mlp_easy_2N.pkl,major,8,60,90,0.600,0.400,42,out\mlp_easy_2N__major_8bars__pop60_gen90__wr0p6_wm0p4.mid,0.894700,0
2025-11-10T04:33:31,mlp_easy_2N.pkl,major,8,60,90,0.400,0.600,42,out\mlp_easy_2N__major_8bars__pop60_gen90__wr0p4_wm0p6.mid,0.922600,0
2025-11-10T04:37:00,mlp_easy_2N.pkl,major,8,60,90,0.200,0.800,42,out\mlp_easy_2N__major_8bars__pop60_gen90__wr0p2_wm0p8.mid,0.952100,0
2025-11-10T04:40:32,mlp_easy_2N.pkl,major,8,60,90,0.000,1.000,42,out\mlp_easy_2N__major_8bars__pop60_gen90__wr0p0_wm1p0.mid,0.993200,0
2025-11-10T04:43:56,mlp_easy_2N.pkl,major,16,100,150,1.000,0.000,42,out\mlp_easy_2N__major_16bars__pop100_gen150__wr1p0_wm0p0.mid,0.844600,0
