[GEN 0] best = 0.7883
[GEN 5] best = 0.8102 | gen_best = 0.8102 | mean = 0.6116
[GEN 10] best = 0.8518 | gen_best = 0.8518 | mean = 0.6631
[GEN 15] best = 0.8588 | gen_best = 0.8588 | mean = 0.6876
[GEN 20] best = 0.8776 | gen_best = 0.8776 | mean = 0.7182
[GEN 25] best = 0.8787 | gen_best = 0.8787 | mean = 0.7254
[GEN 30] best = 0.8813 | gen_best = 0.8813 | mean = 0.7308
[GEN 35] best = 0.8813 | gen_best = 0.8813 | mean = 0.7081
[GEN 40] best = 0.8813 | gen_best = 0.8813 | mean = 0.7076
[GEN 45] best = 0.8813 | gen_best = 0.8813 | mean = 0.7097
[GEN 50] best = 0.8813 | gen_best = 0.8813 | mean = 0.7131
[GEN 55] best = 0.8813 | gen_best = 0.8813 | mean = 0.7273
[GEN 60] best = 0.8813 | gen_best = 0.8813 | mean = 0.7328
[GEN 65] best = 0.8854 | gen_best = 0.8854 | mean = 0.7265
[GEN 70] best = 0.8854 | gen_best = 0.8854 | mean = 0.7183
[GEN 75] best = 0.8854 | gen_best = 0.8854 | mean = 0.7114
[GEN 80] best = 0.8854 | gen_best = 0.8854 | mean = 0.7164
[GEN 85] best = 0.8854 | gen_best = 0.8854 | mean = 0.7360
[GEN 90] best = 0.8887 | gen_best = 0.8887 | mean = 0.7053
[EA] Best fitness = 0.8887
[EA] Guardado: out\mlp_easy_3N__minor_8bars__pop60_gen90__wr0p8_wm0p2.mid
