[GEN 0] best = 1.0000
[GEN 5] best = 1.0000 | gen_best = 1.0000 | mean = 0.9373
[GEN 10] best = 1.0000 | gen_best = 1.0000 | mean = 0.9314
[GEN 15] best = 1.0000 | gen_best = 1.0000 | mean = 0.9420
[GEN 20] best = 1.0000 | gen_best = 1.0000 | mean = 0.9663
[GEN 25] best = 1.0000 | gen_best = 1.0000 | mean = 0.9288
[GEN 30] best = 1.0000 | gen_best = 1.0000 | mean = 0.8964
[GEN 35] best = 1.0000 | gen_best = 1.0000 | mean = 0.9368
[GEN 40] best = 1.0000 | gen_best = 1.0000 | mean = 0.9527
[GEN 45] best = 1.0000 | gen_best = 1.0000 | mean = 0.9203
[GEN 50] best = 1.0000 | gen_best = 1.0000 | mean = 0.8911
[GEN 55] best = 1.0000 | gen_best = 1.0000 | mean = 0.8891
[GEN 60] best = 1.0000 | gen_best = 1.0000 | mean = 0.8616
[GEN 65] best = 1.0000 | gen_best = 1.0000 | mean = 0.8888
[GEN 70] best = 1.0000 | gen_best = 1.0000 | mean = 0.8842
[GEN 75] best = 1.0000 | gen_best = 1.0000 | mean = 0.9432
[GEN 80] best = 1.0000 | gen_best = 1.0000 | mean = 0.9148
[GEN 85] best = 1.0000 | gen_best = 1.0000 | mean = 0.8904
[GEN 90] best = 1.0000 | gen_best = 1.0000 | mean = 0.8654
[EA] Best fitness = 1.0000
[EA] Guardado: out\mlp_easy_1N__minor_8bars__pop60_gen90__wr0p0_wm1p0.mid
