[GEN 0] best = 0.3879
[GEN 5] best = 0.7537 | gen_best = 0.7537 | mean = 0.1198
[GEN 10] best = 0.8415 | gen_best = 0.8415 | mean = 0.1549
[GEN 15] best = 0.9452 | gen_best = 0.9452 | mean = 0.1535
[GEN 20] best = 0.9452 | gen_best = 0.9452 | mean = 0.1431
[GEN 25] best = 0.9749 | gen_best = 0.9746 | mean = 0.2890
[GEN 30] best = 0.9749 | gen_best = 0.9746 | mean = 0.1701
[GEN 35] best = 0.9749 | gen_best = 0.9746 | mean = 0.1309
[GEN 40] best = 0.9749 | gen_best = 0.9746 | mean = 0.1397
[GEN 45] best = 0.9749 | gen_best = 0.9746 | mean = 0.1851
[GEN 50] best = 0.9749 | gen_best = 0.9746 | mean = 0.1921
[GEN 55] best = 0.9759 | gen_best = 0.9759 | mean = 0.2046
[GEN 60] best = 0.9932 | gen_best = 0.9932 | mean = 0.1786
[GEN 65] best = 0.9932 | gen_best = 0.9930 | mean = 0.1616
[GEN 70] best = 0.9932 | gen_best = 0.9930 | mean = 0.1984
[GEN 75] best = 0.9932 | gen_best = 0.9931 | mean = 0.2345
[GEN 80] best = 0.9932 | gen_best = 0.9930 | mean = 0.1455
[GEN 85] best = 0.9932 | gen_best = 0.9930 | mean = 0.2010
[GEN 90] best = 0.9932 | gen_best = 0.9930 | mean = 0.1820
[EA] Best fitness = 0.9932
[EA] Guardado: out\mlp_easy_2N__major_8bars__pop60_gen90__wr0p0_wm1p0.mid
