[GEN 0] best = 0.0910
[GEN 5] best = 0.0911 | gen_best = 0.0911 | mean = 0.0437
[GEN 10] best = 0.0911 | gen_best = 0.0911 | mean = 0.0556
[GEN 15] best = 0.0911 | gen_best = 0.0911 | mean = 0.0551
[GEN 20] best = 0.0919 | gen_best = 0.0919 | mean = 0.0665
[GEN 25] best = 0.0919 | gen_best = 0.0919 | mean = 0.0550
[GEN 30] best = 0.1663 | gen_best = 0.1663 | mean = 0.0612
[GEN 35] best = 0.3340 | gen_best = 0.3340 | mean = 0.0608
[GEN 40] best = 0.8501 | gen_best = 0.8490 | mean = 0.1073
[GEN 45] best = 0.8826 | gen_best = 0.8826 | mean = 0.1597
[GEN 50] best = 0.9922 | gen_best = 0.9922 | mean = 0.3747
[GEN 55] best = 0.9976 | gen_best = 0.9974 | mean = 0.4884
[GEN 60] best = 0.9976 | gen_best = 0.9974 | mean = 0.6407
[GEN 65] best = 0.9981 | gen_best = 0.9981 | mean = 0.5809
[GEN 70] best = 0.9993 | gen_best = 0.9993 | mean = 0.6544
[GEN 75] best = 0.9993 | gen_best = 0.9993 | mean = 0.6875
[GEN 80] best = 0.9993 | gen_best = 0.9993 | mean = 0.7391
[GEN 85] best = 0.9998 | gen_best = 0.9998 | mean = 0.7271
[GEN 90] best = 0.9998 | gen_best = 0.9998 | mean = 0.6437
[GEN 95] best = 0.9998 | gen_best = 0.9998 | mean = 0.7343
[GEN 100] best = 0.9998 | gen_best = 0.9998 | mean = 0.7510
[GEN 105] best = 0.9998 | gen_best = 0.9998 | mean = 0.7103
[GEN 110] best = 0.9998 | gen_best = 0.9998 | mean = 0.7463
[GEN 115] best = 0.9998 | gen_best = 0.9998 | mean = 0.7534
[GEN 120] best = 0.9998 | gen_best = 0.9998 | mean = 0.7514
[GEN 125] best = 0.9999 | gen_best = 0.9998 | mean = 0.7657
[GEN 130] best = 0.9999 | gen_best = 0.9998 | mean = 0.6839
[GEN 135] best = 0.9999 | gen_best = 0.9998 | mean = 0.6552
[GEN 140] best = 0.9999 | gen_best = 0.9998 | mean = 0.6277
[GEN 145] best = 0.9999 | gen_best = 0.9998 | mean = 0.6663
[GEN 150] best = 0.9999 | gen_best = 0.9998 | mean = 0.7440
[EA] Best fitness = 0.9999
[EA] Guardado: out\mlp_hard_2N__minor_16bars__pop100_gen150__wr0p0_wm1p0.mid
