[GEN 0] best = 0.6693
[GEN 5] best = 0.6838 | gen_best = 0.6838 | mean = 0.6113
[GEN 10] best = 0.6838 | gen_best = 0.6838 | mean = 0.6262
[GEN 15] best = 0.6838 | gen_best = 0.6838 | mean = 0.6375
[GEN 20] best = 0.6920 | gen_best = 0.6920 | mean = 0.6434
[GEN 25] best = 0.6920 | gen_best = 0.6920 | mean = 0.6391
[GEN 30] best = 0.6920 | gen_best = 0.6920 | mean = 0.6381
[GEN 35] best = 0.6920 | gen_best = 0.6920 | mean = 0.6390
[GEN 40] best = 0.6925 | gen_best = 0.6925 | mean = 0.6483
[GEN 45] best = 0.6943 | gen_best = 0.6943 | mean = 0.6402
[GEN 50] best = 0.7251 | gen_best = 0.7251 | mean = 0.6499
[GEN 55] best = 0.8380 | gen_best = 0.8380 | mean = 0.6487
[GEN 60] best = 0.8380 | gen_best = 0.8380 | mean = 0.6453
[GEN 65] best = 0.8380 | gen_best = 0.8380 | mean = 0.6469
[GEN 70] best = 0.8394 | gen_best = 0.8380 | mean = 0.6429
[GEN 75] best = 0.8394 | gen_best = 0.8380 | mean = 0.6463
[GEN 80] best = 0.8394 | gen_best = 0.8380 | mean = 0.6435
[GEN 85] best = 0.8519 | gen_best = 0.8515 | mean = 0.6443
[GEN 90] best = 0.8519 | gen_best = 0.8515 | mean = 0.6441
[GEN 95] best = 0.8519 | gen_best = 0.8515 | mean = 0.6380
[GEN 100] best = 0.8519 | gen_best = 0.8515 | mean = 0.6527
[GEN 105] best = 0.8519 | gen_best = 0.8515 | mean = 0.6459
[GEN 110] best = 0.8519 | gen_best = 0.8515 | mean = 0.6470
[GEN 115] best = 0.8519 | gen_best = 0.8515 | mean = 0.6522
[GEN 120] best = 0.8519 | gen_best = 0.8515 | mean = 0.6416
[GEN 125] best = 0.8519 | gen_best = 0.8515 | mean = 0.6476
[GEN 130] best = 0.8580 | gen_best = 0.8579 | mean = 0.6503
[GEN 135] best = 0.8580 | gen_best = 0.8579 | mean = 0.6484
[GEN 140] best = 0.8580 | gen_best = 0.8579 | mean = 0.6664
[GEN 145] best = 0.8580 | gen_best = 0.8579 | mean = 0.6507
[GEN 150] best = 0.8580 | gen_best = 0.8579 | mean = 0.6559
[EA] Best fitness = 0.8580
[EA] Guardado: out\mlp_hard_1N__minor_16bars__pop100_gen150__wr0p8_wm0p2.mid
