[GEN 0] best = 0.9063
[GEN 5] best = 0.9196 | gen_best = 0.9196 | mean = 0.7061
[GEN 10] best = 0.9211 | gen_best = 0.9211 | mean = 0.7361
[GEN 15] best = 0.9237 | gen_best = 0.9237 | mean = 0.7003
[GEN 20] best = 0.9284 | gen_best = 0.9284 | mean = 0.7116
[GEN 25] best = 0.9284 | gen_best = 0.9283 | mean = 0.7607
[GEN 30] best = 0.9284 | gen_best = 0.9283 | mean = 0.7272
[GEN 35] best = 0.9284 | gen_best = 0.9283 | mean = 0.7502
[GEN 40] best = 0.9304 | gen_best = 0.9304 | mean = 0.7810
[GEN 45] best = 0.9304 | gen_best = 0.9304 | mean = 0.8142
[GEN 50] best = 0.9325 | gen_best = 0.9324 | mean = 0.8150
[GEN 55] best = 0.9325 | gen_best = 0.9324 | mean = 0.7826
[GEN 60] best = 0.9341 | gen_best = 0.9340 | mean = 0.8111
[GEN 65] best = 0.9368 | gen_best = 0.9368 | mean = 0.8122
[GEN 70] best = 0.9368 | gen_best = 0.9368 | mean = 0.7987
[GEN 75] best = 0.9368 | gen_best = 0.9368 | mean = 0.7854
[GEN 80] best = 0.9368 | gen_best = 0.9368 | mean = 0.8101
[GEN 85] best = 0.9368 | gen_best = 0.9368 | mean = 0.7838
[GEN 90] best = 0.9368 | gen_best = 0.9368 | mean = 0.7979
[GEN 95] best = 0.9368 | gen_best = 0.9368 | mean = 0.7844
[GEN 100] best = 0.9381 | gen_best = 0.9378 | mean = 0.7784
[GEN 105] best = 0.9381 | gen_best = 0.9378 | mean = 0.7684
[GEN 110] best = 0.9381 | gen_best = 0.9378 | mean = 0.7866
[GEN 115] best = 0.9381 | gen_best = 0.9378 | mean = 0.7769
[GEN 120] best = 0.9381 | gen_best = 0.9378 | mean = 0.7740
[GEN 125] best = 0.9381 | gen_best = 0.9378 | mean = 0.7525
[GEN 130] best = 0.9381 | gen_best = 0.9378 | mean = 0.7980
[GEN 135] best = 0.9381 | gen_best = 0.9378 | mean = 0.7818
[GEN 140] best = 0.9381 | gen_best = 0.9378 | mean = 0.7719
[GEN 145] best = 0.9381 | gen_best = 0.9378 | mean = 0.7962
[GEN 150] best = 0.9388 | gen_best = 0.9388 | mean = 0.8334
[EA] Best fitness = 0.9388
[EA] Guardado: out\mlp_easy_2N__minor_16bars__pop100_gen150__wr0p4_wm0p6.mid
