[GEN 0] best = 0.8398
[GEN 5] best = 0.8426 | gen_best = 0.8426 | mean = 0.7243
[GEN 10] best = 0.8552 | gen_best = 0.8552 | mean = 0.7536
[GEN 15] best = 0.8573 | gen_best = 0.8573 | mean = 0.7586
[GEN 20] best = 0.8757 | gen_best = 0.8757 | mean = 0.7709
[GEN 25] best = 0.8757 | gen_best = 0.8757 | mean = 0.7800
[GEN 30] best = 0.8757 | gen_best = 0.8757 | mean = 0.7834
[GEN 35] best = 0.8765 | gen_best = 0.8765 | mean = 0.7890
[GEN 40] best = 0.8797 | gen_best = 0.8797 | mean = 0.7829
[GEN 45] best = 0.8812 | gen_best = 0.8812 | mean = 0.8087
[GEN 50] best = 0.8812 | gen_best = 0.8812 | mean = 0.7636
[GEN 55] best = 0.8812 | gen_best = 0.8812 | mean = 0.7800
[GEN 60] best = 0.8812 | gen_best = 0.8812 | mean = 0.7868
[GEN 65] best = 0.8812 | gen_best = 0.8812 | mean = 0.7827
[GEN 70] best = 0.8812 | gen_best = 0.8812 | mean = 0.7940
[GEN 75] best = 0.8812 | gen_best = 0.8812 | mean = 0.8067
[GEN 80] best = 0.8812 | gen_best = 0.8812 | mean = 0.7941
[GEN 85] best = 0.8812 | gen_best = 0.8812 | mean = 0.7704
[GEN 90] best = 0.8812 | gen_best = 0.8812 | mean = 0.7961
[GEN 95] best = 0.8812 | gen_best = 0.8812 | mean = 0.7884
[GEN 100] best = 0.8812 | gen_best = 0.8812 | mean = 0.8057
[GEN 105] best = 0.8820 | gen_best = 0.8820 | mean = 0.7979
[GEN 110] best = 0.8820 | gen_best = 0.8820 | mean = 0.8124
[GEN 115] best = 0.8840 | gen_best = 0.8840 | mean = 0.8131
[GEN 120] best = 0.8840 | gen_best = 0.8840 | mean = 0.8162
[GEN 125] best = 0.8840 | gen_best = 0.8840 | mean = 0.8166
[GEN 130] best = 0.8840 | gen_best = 0.8840 | mean = 0.8104
[GEN 135] best = 0.8840 | gen_best = 0.8840 | mean = 0.8216
[GEN 140] best = 0.8840 | gen_best = 0.8840 | mean = 0.8203
[GEN 145] best = 0.8840 | gen_best = 0.8840 | mean = 0.8382
[GEN 150] best = 0.8840 | gen_best = 0.8840 | mean = 0.8158
[EA] Best fitness = 0.8840
[EA] Guardado: out\mlp_easy_2N__minor_16bars__pop100_gen150__wr0p8_wm0p2.mid
