[GEN 0] best = 1.0000
[GEN 5] best = 1.0000 | gen_best = 1.0000 | mean = 0.9478
[GEN 10] best = 1.0000 | gen_best = 1.0000 | mean = 0.9495
[GEN 15] best = 1.0000 | gen_best = 1.0000 | mean = 0.9518
[GEN 20] best = 1.0000 | gen_best = 1.0000 | mean = 0.9561
[GEN 25] best = 1.0000 | gen_best = 1.0000 | mean = 0.9509
[GEN 30] best = 1.0000 | gen_best = 1.0000 | mean = 0.9556
[GEN 35] best = 1.0000 | gen_best = 1.0000 | mean = 0.9550
[GEN 40] best = 1.0000 | gen_best = 1.0000 | mean = 0.9567
[GEN 45] best = 1.0000 | gen_best = 1.0000 | mean = 0.9649
[GEN 50] best = 1.0000 | gen_best = 1.0000 | mean = 0.9657
[GEN 55] best = 1.0000 | gen_best = 1.0000 | mean = 0.9647
[GEN 60] best = 1.0000 | gen_best = 1.0000 | mean = 0.9741
[GEN 65] best = 1.0000 | gen_best = 1.0000 | mean = 0.9724
[GEN 70] best = 1.0000 | gen_best = 1.0000 | mean = 0.9652
[GEN 75] best = 1.0000 | gen_best = 1.0000 | mean = 0.9776
[GEN 80] best = 1.0000 | gen_best = 1.0000 | mean = 0.9639
[GEN 85] best = 1.0000 | gen_best = 1.0000 | mean = 0.9693
[GEN 90] best = 1.0000 | gen_best = 1.0000 | mean = 0.9701
[GEN 95] best = 1.0000 | gen_best = 1.0000 | mean = 0.9714
[GEN 100] best = 1.0000 | gen_best = 1.0000 | mean = 0.9627
[GEN 105] best = 1.0000 | gen_best = 1.0000 | mean = 0.9671
[GEN 110] best = 1.0000 | gen_best = 1.0000 | mean = 0.9679
[GEN 115] best = 1.0000 | gen_best = 1.0000 | mean = 0.9637
[GEN 120] best = 1.0000 | gen_best = 1.0000 | mean = 0.9656
[GEN 125] best = 1.0000 | gen_best = 1.0000 | mean = 0.9678
[GEN 130] best = 1.0000 | gen_best = 1.0000 | mean = 0.9742
[GEN 135] best = 1.0000 | gen_best = 1.0000 | mean = 0.9712
[GEN 140] best = 1.0000 | gen_best = 1.0000 | mean = 0.9616
[GEN 145] best = 1.0000 | gen_best = 1.0000 | mean = 0.9627
[GEN 150] best = 1.0000 | gen_best = 1.0000 | mean = 0.9724
[EA] Best fitness = 1.0000
[EA] Guardado: out\mlp_easy_1N__major_16bars__pop100_gen150__wr0p0_wm1p0.mid
