[GEN 0] best = 0.0909
[GEN 5] best = 0.0909 | gen_best = 0.0909 | mean = 0.0478
[GEN 10] best = 0.2083 | gen_best = 0.2083 | mean = 0.0640
[GEN 15] best = 0.8745 | gen_best = 0.8745 | mean = 0.0646
[GEN 20] best = 0.8745 | gen_best = 0.8695 | mean = 0.0716
[GEN 25] best = 0.9242 | gen_best = 0.9242 | mean = 0.0860
[GEN 30] best = 0.9550 | gen_best = 0.9550 | mean = 0.1072
[GEN 35] best = 0.9879 | gen_best = 0.9879 | mean = 0.1210
[GEN 40] best = 0.9994 | gen_best = 0.9994 | mean = 0.3632
[GEN 45] best = 0.9994 | gen_best = 0.9994 | mean = 0.5975
[GEN 50] best = 1.0000 | gen_best = 1.0000 | mean = 0.6268
[GEN 55] best = 1.0000 | gen_best = 1.0000 | mean = 0.6142
[GEN 60] best = 1.0000 | gen_best = 1.0000 | mean = 0.6412
[GEN 65] best = 1.0000 | gen_best = 1.0000 | mean = 0.6157
[GEN 70] best = 1.0000 | gen_best = 1.0000 | mean = 0.7228
[GEN 75] best = 1.0000 | gen_best = 1.0000 | mean = 0.7157
[GEN 80] best = 1.0000 | gen_best = 1.0000 | mean = 0.6073
[GEN 85] best = 1.0000 | gen_best = 1.0000 | mean = 0.5854
[GEN 90] best = 1.0000 | gen_best = 1.0000 | mean = 0.6950
[GEN 95] best = 1.0000 | gen_best = 1.0000 | mean = 0.6807
[GEN 100] best = 1.0000 | gen_best = 1.0000 | mean = 0.6825
[GEN 105] best = 1.0000 | gen_best = 1.0000 | mean = 0.6613
[GEN 110] best = 1.0000 | gen_best = 1.0000 | mean = 0.6768
[GEN 115] best = 1.0000 | gen_best = 1.0000 | mean = 0.6455
[GEN 120] best = 1.0000 | gen_best = 1.0000 | mean = 0.6008
[GEN 125] best = 1.0000 | gen_best = 1.0000 | mean = 0.6054
[GEN 130] best = 1.0000 | gen_best = 1.0000 | mean = 0.6450
[GEN 135] best = 1.0000 | gen_best = 1.0000 | mean = 0.6992
[GEN 140] best = 1.0000 | gen_best = 1.0000 | mean = 0.6377
[GEN 145] best = 1.0000 | gen_best = 1.0000 | mean = 0.6772
[GEN 150] best = 1.0000 | gen_best = 1.0000 | mean = 0.6878
[EA] Best fitness = 1.0000
[EA] Guardado: out\mlp_hard_1N__minor_16bars__pop100_gen150__wr0p0_wm1p0.mid
